link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-добрич/община-генерал-тошево/генерал-тошево	Генерал Тошево	Добрич	28.039635	43.701676	14711	гр	Генерал Тошево	gr	general-toshevo	general-toshevo	dobrich
https://www.ekatte.com/област-софия/община-ихтиман/селянин	Ихтиман	София-област	23.724283	42.571766	66144	с	Селянин		seljanin	ihtiman	sofija-oblast
https://www.ekatte.com/област-шумен/община-шумен/шумен	Шумен	Шумен	26.936129	43.27124	83510	гр	Шумен	gr	shumen	shumen	shumen
https://www.ekatte.com/област-шумен/община-хитрино/калино	Хитрино	Шумен	26.982401	43.473126	35417	с	Калино		kalino	hitrino	shumen
https://www.ekatte.com/област-габрово/община-габрово/пейовци	Габрово	Габрово	25.234071	42.883537	55717	с	Пейовци		pejovtsi	gabrovo	gabrovo
https://www.ekatte.com/област-добрич/община-каварна/селце	Каварна	Добрич	28.290836	43.453293	66113	с	Селце		seltse	kavarna	dobrich
https://www.ekatte.com/област-бургас/община-царево/резово	Царево	Бургас	28.029858	41.984943	62459	с	Резово		rezovo	tsarevo	burgas
https://www.ekatte.com/област-благоевград/община-симитли/железница	Симитли	Благоевград	23.111037	41.922817	29146	с	Железница		zheleznitsa	simitli	blagoevgrad
https://www.ekatte.com/област-бургас/община-карнобат/сърнево	Карнобат	Бургас	27.091865	42.476003	70576	с	Сърнево		srnevo	karnobat	burgas
https://www.ekatte.com/област-хасково/община-стамболово/лясковец	Стамболово	Хасково	25.697911	41.713197	44803	с	Лясковец		ljaskovets	stambolovo	haskovo
https://www.ekatte.com/област-софия/община-горна-малина/осоица	Горна Малина	София-област	23.753431	42.744505	54287	с	Осоица		osoitsa	gorna-malina	sofija-oblast
https://www.ekatte.com/област-ямбол/община-болярово/дъбово	Болярово	Ямбол	26.778177	42.200269	24356	с	Дъбово		dbovo	boljarovo	jambol
https://www.ekatte.com/област-русе/община-иваново/щръклево	Иваново	Русе	26.042791	43.721264	84049	с	Щръклево		schrklevo	ivanovo	ruse
